video_id,category,days_observed,first_age_days,first_daily_views,last_views,half_life_days
lSXxEdaOqgU,music,4,1.76,49242,286299,1.331
lSaGEo3UfBk,entertainment,4,3.92,486284,2839406,
lUZPV3gGXgY,entertainment,4,2.34,133963,2203618,1.842
lV3eV9w0h0U,howto,6,1.07,273949,937914,1.094
lVudO9x8fbQ,music,7,1.41,560315,1954026,1.622
lWDWVDu01P0,science_tech,6,1.51,97458,286574,4.191
lWHZKP6xXHU,film,11,1.2,299733,1536968,3.177
lWyRTOABEq4,entertainment,8,2.12,86473,438129,1.52
lYEj9snU838,news,6,1.46,629717,1363711,1.216
lYtllIKb70M,entertainment,7,2.33,19408,94373,1.751
lZ68j2J_GOM,comedy,6,1.39,96913,152001,1.165
l_eR85kmWbY,science_tech,8,2.0,21968,78528,1.304
l_lblj8Cq0o,music,12,2.17,2678881,45938392,
lbFzL-0pEeU,howto,4,3.87,282929,1908094,25.766
lcpxLXjYAa8,news,11,1.4,72901,285483,1.367
ldMaZ_7FNDY,howto,5,2.02,97770,719340,1.89
ldmDBJRARB4,comedy,4,1.8,583206,2047272,0.961
leFNoUJmJ9o,people_blogs,5,1.95,2375,26940,2.671
leHtDz4Mj0M,music,4,2.25,5595,93591,4.297
lfIhBu0TZBs,people_blogs,6,1.38,813803,2480934,1.242
lfkYyrhWphE,music,7,1.26,535610,2230715,3.173
lgBn6qzMlXw,entertainment,14,2.12,449645,3326832,3.369
li5fmOV33hE,sports,7,1.73,23464,100291,2.985
li6f_0x0IGE,howto,4,2.29,36896,657043,2.789
ljEjBIZ2qCQ,people_blogs,7,1.19,87872,329129,2.023
lk8lozFBXpo,comedy,5,2.29,190452,1996355,3.996
lklTc_DTE8Q,howto,5,1.85,91950,595836,1.702
loWpbevW9xg,entertainment,6,4.33,52618,702374,2.237
lpFEpDPf490,people_blogs,8,4.6,14673,435462,2.839
lpkRFHSpvGI,entertainment,5,1.75,1157872,5398142,1.085
lrWRy9BBp-c,entertainment,5,2.08,623099,3748683,7.766
lsyXtbi9znw,entertainment,4,1.92,263313,1001742,1.433
ltzy5vRmN8Q,entertainment,7,1.41,1760326,4003530,1.238
lw_KFCgcvA4,howto,4,2.29,5239,65631,1.809
lxSWRdgD4Ho,entertainment,6,2.2,4790,47701,1.488
lzEctvL0vrg,education,4,2.41,35661,244518,1.647
lzZadh-D8Tk,entertainment,4,1.38,234936,416772,0.888
lzuWvKn80V8,comedy,5,1.29,66311,267038,1.624
m-Tp8-CAxPI,science_tech,5,1.97,3527,37144,2.301
m0AZ5LKlGyk,people_blogs,4,3.93,348447,1791693,2.096
m1-rpd3S-48,music,14,1.42,1056331,6804554,7.207
m4-sL1r9i1I,music,8,1.79,355521,1581379,2.255
m4faDISwSVo,film,9,2.02,1298223,5107601,1.408
m7CtnR47w20,science_tech,5,1.28,73503,311117,1.022
m7Ege1M5Pag,education,5,3.42,155282,1156807,2.082
m7b8hitvfoE,music,11,4.0,127473,1136277,4.692
m7lFyINZlBs,entertainment,10,4.96,48763,1240985,3.706
m8Dqg8iz5Fo,howto,13,1.99,90117,890803,4.213
m9sR3Z0vVOc,entertainment,16,2.24,304241,2688144,3.205
mA4NVRV1FGU,howto,4,2.56,24978,216179,1.695
mB2UTIkgY1I,news,5,1.8,9989,61309,0.967
mB7hkJ33044,sports,9,1.81,349879,2283685,0.948
mBMxFIEub34,entertainment,8,3.21,85606,479587,2.472
mBbY2axJcWw,people_blogs,4,3.68,14252,241832,1.249
mBrdEYW0Vno,music,4,1.24,1019249,3976296,9.019
mD4jp2HHu0g,film,13,6.25,84220,3948004,8.302
mDRifR9HdK8,pets,8,1.42,238789,834551,1.23
